timeStamp,value,clone
1609372800,4.2025,4.7025
1609459200,4.1667,4.6667
1609545600,4.0346,4.5346
1609632000,3.9933,4.4933
1609718400,3.9992,4.4992
1609804800,4.05,4.55
1609891200,4.1292,4.6292
1609977600,4.1696,4.6696
1610064000,4.1904,4.6904
1610150400,4.1771,4.6771
1610236800,3.9633,4.4633
1610323200,2.2288,2.7288
1610409600,4.1321,4.6321
1610496000,4.1696,4.6696
1610582400,4.1767,4.6767
1610668800,4.1742,4.6742
1610755200,4.17,4.67
1610841600,3.1129,3.6129
1610928000,2.0254,2.5254
1611014400,4.03,4.53
1611100800,4.0283,4.5283
1611187200,4.0721,4.5721
1611273600,4.1625,4.6625
1611360000,4.2142,4.7142
1611446400,4.2817,4.7817
1611532800,4.3967,4.8967
1611619200,4.4892,4.9892
1611705600,4.5317,5.0317
1611792000,4.4808,4.9808
1611878400,2.7937,3.2937
1611964800,0.7513,1.2513
1612051200,1.9521,2.4521
1612137600,2.6446,3.1446
1612224000,4.9379,5.4379
1612310400,4.9921,5.4921
1612396800,5.0808,5.5808
1612483200,5.3746,5.8746
1612569600,5.2837,5.7837
1612656000,0,0.5
1612742400,0,0.5
1612828800,0.2504,0.7504
1612915200,0.9962,1.4962
1613001600,0,0.5
1613088000,0,0.5
1613174400,1.4212,1.9212
1613260800,2.095,2.595
1613347200,2.0621,2.5621
1613433600,2.7196,3.2196
1613520000,5.4137,5.9137
1613606400,5.4279,5.9279
1613692800,5.4887,5.9887
1613779200,5.6262,6.1262
1613865600,5.7413,6.2413
1613952000,5.7838,6.2838
1614038400,5.8029,6.3029
1614124800,5.8225,6.3225
1614211200,5.8217,6.3217
1614297600,5.8079,6.3079
1614384000,5.7508,6.2508
1614470400,5.7,6.2
1614556800,5.6742,6.1742
1614643200,5.615,6.115
1614729600,5.5617,6.0617
1614816000,5.4875,5.9875
1614902400,5.3971,5.8971
1614988800,3.3258,3.8258
1615075200,5.3054,5.8054
1615161600,5.2533,5.7533
1615248000,3.2508,3.7508
1615334400,4.5296,5.0296
1615420800,5.1408,5.6408
1615507200,5.1033,5.6033
1615593600,5.0754,5.5754
1615680000,5.0225,5.5225
1615766400,4.7604,5.2604
1615852800,4.3292,4.8292
1615939200,4.9454,5.4454
1616025600,4.9267,5.4267
1616112000,4.9017,5.4017
1616198400,4.8521,5.3521
1616284800,4.7933,5.2933
1616371200,4.7558,5.2558
1616457600,4.74,5.24
1616544000,4.34,4.84
1616630400,4.7129,5.2129
1616716800,4.4992,4.9992
1616803200,4.6888,5.1888
1616889600,4.67,5.17
1616976000,4.6663,5.1663
1617062400,4.6954,5.1954
1617148800,4.5317,5.0317
1617235200,3.5475,4.0475
1617321600,4.6979,5.1979
1617408000,4.6517,5.1517
1617494400,4.5958,5.0958
1617580800,3.2238,3.7238
1617667200,4.5167,5.0167
1617753600,4.4758,4.9758
1617840000,4.4863,4.9863
1617926400,4.5217,5.0217
1618012800,4.5171,5.0171
1618099200,4.4679,4.9679
1618185600,4.415,4.915
1618272000,4.3917,4.8917
1618358400,4.3946,4.8946
1618444800,4.4254,4.9254
1618531200,4.4271,4.9271
1618617600,4.4342,4.9342
1618704000,4.4029,4.9029
1618790400,4.3683,4.8683
1618876800,4.3796,4.8796
1618963200,4.42,4.92
1619049600,4.4271,4.9271
1619136000,4.4137,4.9137
1619222400,4.3921,4.8921
1619308800,4.3288,4.8288
1619395200,4.2787,4.7787
1619481600,4.2121,4.7121
1619568000,4.1825,4.6825
1619654400,4.1767,4.6767
1619740800,4.1696,4.6696
1619827200,4.1425,4.6425
1619913600,4.1779,4.6779
1620000000,4.3975,4.8975
1620086400,4.6117,5.1117
1620172800,4.6258,5.1258
1620259200,4.6083,5.1083
1620345600,4.5708,5.0708
1620432000,4.585,5.085
1620518400,4.5558,5.0558
1620604800,4.5121,5.0121
1620691200,4.4542,4.9542
1620777600,4.4154,4.9154
1620864000,4.4842,4.9842
1620950400,4.6571,5.1571
1621036800,5.0046,5.5046
1621123200,5.3267,5.8267
1621209600,5.49,5.99
1621296000,5.5529,6.0529
1621382400,5.5392,6.0392
1621468800,5.4767,5.9767
1621555200,5.4504,5.9504
1621641600,5.4192,5.9192
1621728000,5.3412,5.8412
1621814400,5.2629,5.7629
1621900800,5.2042,5.7042
1621987200,5.1417,5.6417
1622073600,5.1025,5.6025
1622160000,5.0488,5.5488
1622246400,4.9925,5.4925
1622332800,4.9383,5.4383
1622419200,4.8763,5.3763
1622505600,4.8321,5.3321
1622592000,4.7854,5.2854
1622678400,4.7104,5.2104
1622764800,4.6162,5.1162
1622851200,4.5058,5.0058
1622937600,4.3742,4.8742
1623024000,4.3225,4.8225
1623110400,4.2758,4.7758
1623196800,4.2075,4.7075
1623283200,4.1713,4.6713
1623369600,4.1588,4.6588
1623456000,4.1354,4.6354
1623542400,4.1083,4.6083
1623628800,4.1021,4.6021
1623715200,4.0796,4.5796
1623801600,4.0529,4.5529
1623888000,4.025,4.525
1623974400,3.9663,4.4663
1624060800,3.9167,4.4167
1624147200,3.8808,4.3808
1624233600,3.8396,4.3396
1624320000,3.8125,4.3125
1624406400,3.9479,4.4479
1624492800,4.0892,4.5892
1624579200,4.3538,4.8538
1624665600,4.5821,5.0821
1624752000,4.7217,5.2217
1624838400,4.7008,5.2008
1624924800,4.6579,5.1579
1625011200,4.6471,5.1471
1625097600,4.7338,5.2338
1625184000,4.8329,5.3329
1625270400,4.6083,5.1083
1625356800,4.5279,5.0279
1625443200,4.2679,4.7679
1625529600,4.2062,4.7062
1625616000,4.5308,5.0308
1625702400,4.3362,4.8362
1625788800,4.4092,4.9092
1625875200,4.445,4.945
1625961600,4.0725,4.5725
1626048000,5.0317,5.5317
1626134400,5.2567,5.7567
1626220800,5.3346,5.8346
1626307200,5.4083,5.9083
1626393600,5.5096,6.0096
1626480000,5.5696,6.0696
1626566400,5.6463,6.1463
1626652800,5.5979,6.0979
1626739200,2.585,3.085
1626825600,3.9012,4.4012
1626912000,5.1442,5.6442
1626998400,5.2338,5.7338
1627084800,5.1108,5.6108
1627171200,4.9892,5.4892
1627257600,4.0325,4.5325
1627344000,3.58,4.08
1627430400,4.1804,4.6804
1627516800,1.3896,1.8896
1627603200,2.3454,2.8454
1627689600,3.6812,4.1812
1627776000,0.385,0.885
1627862400,0,0.5
1627948800,0,0.5
1628035200,0,0.5
1628121600,0,0.5
1628208000,0,0.5
1628294400,0,0.5
1628380800,0,0.5
1628467200,0.3842,0.8842
1628553600,0.3842,0.8842
1628640000,0.5812,1.0812
1628726400,0.5846,1.0846
1628812800,1.5275,2.0275
1628899200,2.4367,2.9367
1628985600,0.7325,1.2325
1629072000,0,0.5
1629158400,0,0.5
1629244800,0,0.5
1629331200,0,0.5
1629417600,0,0.5
1629504000,0,0.5
1629590400,0,0.5
1629676800,0,0.5
1629763200,0,0.5
1629849600,0,0.5
1629936000,0,0.5
1630022400,1.2479,1.7479
1630108800,4.2962,4.7962
1630195200,4.3138,4.8138
1630281600,4.3042,4.8042
1630368000,4.3187,4.8187
1630454400,4.3883,4.8883
1630540800,4.4371,4.9371
1630627200,4.4617,4.9617
1630713600,4.4146,4.9146
1630800000,4.3617,4.8617
1630886400,4.2533,4.7533
1630972800,4.2,4.7
1631059200,4.2592,4.7592
1631145600,4.2583,4.7583
1631232000,4.1925,4.6925
1631318400,4.0988,4.5988
1631404800,4.0383,4.5383
1631491200,4.0167,4.5167
1631577600,3.9875,4.4875
1631664000,4.0175,4.5175
1631750400,4.0142,4.5142
1631836800,3.9971,4.4971
1631923200,4.01,4.51
1632009600,3.9921,4.4921
1632096000,3.9504,4.4504
1632182400,3.9312,4.4312
1632268800,3.9142,4.4142
1632355200,3.9033,4.4033
1632441600,3.8937,4.3937
1632528000,3.8767,4.3767
1632614400,3.8708,4.3708
1632700800,3.5108,4.0108
1632787200,1.7717,2.2717
1632873600,2.9221,3.4221
1632960000,2.4475,2.9475
1633046400,3.9242,4.4242
1633132800,3.9217,4.4217
1633219200,3.2708,3.7708
1633305600,3.2396,3.7396
1633392000,2.3988,2.8988
1633478400,3.06,3.56
1633564800,3.1442,3.6442
1633651200,4.0537,4.5537
1633737600,3.05,3.55
1633824000,3.3467,3.8467
1633910400,3.9517,4.4517
1633996800,3.9471,4.4471
1634083200,3.6642,4.1642
1634169600,4,4.5
1634256000,3.6817,4.1817
1634342400,2.8529,3.3529
1634428800,2.01,2.51
1634515200,2.1679,2.6679
1634601600,0.8342,1.3342
1634688000,0.1679,0.6679
1634774400,0,0.5
1634860800,1.1892,1.6892
1634947200,0,0.5
1635033600,0,0.5
1635120000,0,0.5
1635206400,0,0.5
1635292800,0,0.5
1635379200,1.0812,1.5812
1635465600,0,0.5
1635552000,0,0.5
1635638400,0.545,1.045
1635724800,0,0.5
1635811200,0,0.5
1635897600,0,0.5
1635984000,0,0.5
1636070400,0,0.5
1636156800,0,0.5
1636243200,0,0.5
1636329600,0,0.5
1636416000,0,0.5
1636502400,0,0.5
1636588800,0,0.5
1636675200,0,0.5
1636761600,0,0.5
1636848000,0,0.5
1636934400,0,0.5
1637020800,0,0.5
1637107200,0,0.5
