9999,9999,170.71,167.5,164.11,160.57,156.94,153.28,149.6,145.93,142.27,138.62,134.98,131.37,127.77,124.21,120.67,117.16,113.66,110.18,106.72,103.28,99.86,96.46,93.07,89.7,86.35,83.02,79.7,76.39,73.11,69.83,66.57,63.32,60.08,56.84,53.61,50.39,47.16,43.91,40.65,37.35,33.99,30.56,27,23.26,19.21,14.62,8.87,0
9999,9999,170.71,167.85,164.51,160.94,157.26,153.56,149.85,146.16,142.49,138.83,135.18,131.56,127.97,124.4,120.87,117.35,113.86,110.38,106.93,103.49,100.08,96.68,93.31,89.95,86.61,83.29,79.99,76.71,73.44,70.19,66.96,63.75,60.55,57.36,54.19,51.03,47.87,44.72,41.56,38.38,35.18,31.93,28.62,25.19,21.62,17.82,13.78,9.99
9999,9999,170.71,168.64,165.15,161.4,157.62,153.85,150.11,146.39,142.7,139.02,135.38,131.75,128.15,124.58,121.05,117.54,114.04,110.57,107.12,103.69,100.28,96.9,93.53,90.18,86.86,83.55,80.27,77.01,73.77,70.55,67.35,64.17,61.01,57.88,54.76,51.67,48.59,45.53,42.49,39.45,36.41,33.37,30.33,27.27,24.22,21.23,18.48,16.52
9999,9999,170.71,170.71,166.02,161.91,157.98,154.14,150.35,146.61,142.9,139.21,135.56,131.93,128.33,124.75,121.22,117.7,114.21,110.75,107.3,103.88,100.47,97.09,93.74,90.4,87.09,83.8,80.53,77.29,74.07,70.88,67.71,64.57,61.46,58.38,55.32,52.29,49.3,46.34,43.41,40.51,37.64,34.82,32.05,29.35,26.78,24.42,22.47,21.27
9999,9999,170.71,170.71,166.38,162.25,158.27,154.39,150.57,146.81,143.08,139.39,135.72,132.09,128.49,124.91,121.37,117.86,114.37,110.91,107.46,104.04,100.65,97.28,93.93,90.6,87.3,84.03,80.78,77.56,74.36,71.2,68.06,64.96,61.89,58.85,55.85,52.9,49.98,47.12,44.3,41.54,38.84,36.22,33.71,31.32,29.14,27.23,25.77,24.95
9999,9999,170.71,170.71,166.54,162.46,158.48,154.59,150.76,146.98,143.24,139.54,135.87,132.23,128.63,125.05,121.51,118,114.51,111.05,107.61,104.2,100.81,97.44,94.1,90.79,87.5,84.24,81,77.8,74.63,71.49,68.38,65.31,62.28,59.3,56.36,53.46,50.63,47.85,45.15,42.51,39.97,37.54,35.24,33.12,31.23,29.66,28.5,27.87
9999,9999,170.71,170.71,166.63,162.6,158.63,154.74,150.9,147.12,143.38,139.67,136,132.36,128.75,125.18,121.64,118.12,114.64,111.18,107.75,104.34,100.95,97.59,94.26,90.95,87.67,84.43,81.21,78.02,74.87,71.75,68.67,65.64,62.65,59.7,56.81,53.99,51.22,48.53,45.92,43.41,41,38.73,36.62,34.71,33.05,31.7,30.74,30.23
9999,9999,170.7,170.71,166.68,162.68,158.73,154.84,151.02,147.24,143.49,139.78,136.11,132.47,128.86,125.29,121.75,118.23,114.75,111.29,107.86,104.46,101.07,97.72,94.39,91.09,87.83,84.59,81.38,78.21,75.08,71.98,68.93,65.93,62.97,60.07,57.22,54.45,51.75,49.13,46.61,44.2,41.91,39.78,37.82,36.08,34.58,33.4,32.57,32.13
9999,9999,170.68,170.71,166.7,162.72,158.79,154.92,151.1,147.32,143.58,139.87,136.19,132.56,128.95,125.38,121.84,118.33,114.84,111.39,107.96,104.56,101.18,97.83,94.51,91.22,87.96,84.73,81.54,78.38,75.26,72.18,69.15,66.17,63.25,60.38,57.58,54.85,52.21,49.65,47.21,44.88,42.69,40.67,38.83,37.21,35.84,34.77,34.03,33.65
9999,9999,170.64,170.71,166.69,162.72,158.81,154.95,151.15,147.38,143.64,139.93,136.26,132.62,129.02,125.45,121.91,118.4,114.92,111.47,108.04,104.64,101.26,97.92,94.6,91.32,88.07,84.85,81.66,78.51,75.41,72.35,69.34,66.38,63.47,60.63,57.87,55.18,52.58,50.08,47.69,45.44,43.33,41.38,39.63,38.11,36.83,35.84,35.16,34.82
9999,9999,170.53,170.71,166.62,162.67,158.79,154.96,151.17,147.41,143.68,139.98,136.3,132.67,129.07,125.5,121.97,118.46,114.98,111.53,108.1,104.7,101.33,97.99,94.68,91.4,88.15,84.93,81.75,78.62,75.52,72.47,69.47,66.53,63.64,60.83,58.09,55.43,52.87,50.41,48.07,45.86,43.81,41.93,40.24,38.78,37.57,36.63,35.99,35.67
9999,9999,170.25,170.71,166.43,162.55,158.74,154.95,151.18,147.43,143.7,140,136.33,132.71,129.11,125.55,122.01,118.5,115.02,111.57,108.14,104.74,101.37,98.03,94.72,91.45,88.2,84.99,81.82,78.68,75.6,72.56,69.57,66.63,63.76,60.96,58.24,55.6,53.06,50.63,48.32,46.14,44.13,42.29,40.65,39.23,38.06,37.16,36.54,36.23
9999,9999,169.55,168.78,165.88,162.37,158.67,154.92,151.17,147.43,143.71,140.02,136.36,132.73,129.13,125.57,122.03,118.52,115.04,111.59,108.16,104.77,101.4,98.06,94.75,91.47,88.23,85.02,81.85,78.72,75.63,72.6,69.61,66.69,63.82,61.03,58.31,55.68,53.16,50.74,48.44,46.29,44.29,42.47,40.85,39.45,38.3,37.41,36.81,36.51
